FID,plot_id,Open.Water,Developed.Open,Developed.Low,Developed.Mid,Developed.High,Barren,Deciduous,Coniferous,Mixed,Scrub,Grassland,Pasture,Cultivated.Crops,Woody.Wetlands,Herbaceus.Wetlands,road_density,elevation,forest_edge,X,Y,random,PO_join_count_truncated
25,26,0.040115129,0.033459255,0.034808419,0.022486059,0.013581579,0.000359777,0.541464292,0.003957546,0.033369311,0.002158662,0.007105595,0.101906818,0,0.161449901,0.003777658,2.682559967,81.7629776,71.0259639,584674.6672,4636453.467,0.94845702,0
26,27,0,0.036474164,0.002279635,0.000759878,0.000379939,0,0.414513678,0.00493921,0.123480243,0.007978723,0,0.301291793,0.10600304,0.001899696,0,0.706386983,628.9267578,72.44174265,281128.7302,4653470.863,0.868252783,0
27,28,0.0004496,0.011419836,8.99E-05,0,0,0,0.541498067,0.2507868,0.040823667,0.012049276,0.00062944,0,0,0.136048916,0.006204478,0.601578832,468.40448,50.80478374,524591.3916,4911571.623,0.978905199,0
28,29,0.020052154,0.013487996,0.00071936,0,8.99E-05,0,0.4997752,0.244672242,0.09468573,0.023469112,0.00071936,0.0004496,0,0.099631328,0.002247999,0.383091867,623.625061,56.08008872,527753.6692,4845163.792,0.834862566,2
29,30,0,0.059735111,0.012884044,0.001982161,0.000180196,0.000360393,0.503919272,0.056131183,0.171006397,0.002072259,0.000810884,0.184160735,0.00351383,0.003243535,0,0.841609299,566.3855591,53.42823678,236824.1245,4658589.41,0.235248218,0
30,31,0.000179888,0.011153085,0.000179888,0,0,0,0.541014571,0.194549379,0.227468969,0.001618996,0.022845836,0,0,0.000809498,0.000179888,0.849082649,580.3331299,18.49853091,606810.6107,4898922.512,0.839687333,0
31,32,0.00189104,0.062044124,0.007474111,0.001350743,0,0.001170644,0.49707339,0.040432238,0.166321477,0.004412427,0.004682575,0.212336785,0,0.000720396,9.00E-05,1.50627923,605.2368164,62.40432238,274771.4564,4683887.632,0.245096041,0
32,33,0.208288827,0.30527665,0.205725272,0.066011536,0.004486221,0,0.174962615,0.001495407,0.001068148,0.00021363,0.002349925,0,0,0.026917325,0.003204443,1.535319328,171.3058319,41.871395,621707.0057,4592202.492,0.613788679,0
33,34,0.162872312,0.094123999,0.014577522,0.002699541,0.000449924,0,0.247457932,0.016557185,0.038153514,0.006298929,0.005129128,0.134887069,0.272743634,0.004049312,0,1.571534753,196.9128418,55.01064819,347503.8426,4724997.241,0.729843366,4
34,35,0.00153098,0.046829971,0.016210375,0.003962536,0.000900576,0,0.085014409,0.001260807,0.011257205,0.001080692,0,0.090868156,0.544038184,0.162644092,0.034402017,1.694740891,281.6575623,41.27641691,252635.5128,4759782.295,0.338871814,0
35,36,0.000269857,0.019609607,0.087523612,0.502743546,0.385355761,0,0.003328236,0,0,0,0.00116938,0,0,0,0,12.74091053,19.80650711,1.289316662,600486.0554,4513124.638,0.868703462,24
36,37,0.00170894,0.114768843,0.122863824,0.099658212,0.024105055,0.002068717,0.381723332,0.000269833,0.018798345,0.000899442,0.009444145,0.11638784,0.014930743,0.089584458,0.002788271,2.627708912,62.45949936,95.16100018,590999.2225,4642778.022,0.744019838,16
37,38,0.048012947,0.04576515,0.034705988,0.020859558,0.000719295,0.001168855,0.10582629,0.036953785,0.209674519,0.004315771,0.00188815,0.399478511,0.047023917,0.031199425,0.01240784,1.651720285,167.3035583,46.27465084,540402.7798,4750295.462,0.590897189,0
38,39,0.000450369,0.028643488,0.008737164,0.002431994,0.000180148,0,0.065123401,0.000630517,0.00279229,0.000450369,0.002702216,0.067915691,0.315528734,0.495496307,0.008917312,1.476429701,202.5989075,26.69188735,243148.6798,4788242.794,0.63808288,0
39,40,0.000899523,0.042457498,0.00539714,0.00152919,9.00E-05,9.00E-05,0.347305928,0.029234506,0.270576594,0.006296663,0.003598093,0.139695961,0.033372313,0.091571467,0.027885221,1.823775649,391.248291,52.74204672,385451.1745,4690212.187,0.891221994,2
40,41,0.028520018,0.026720648,0.029689609,0.011515969,0.000539811,0.000269906,0.32505623,0.099955016,0.109851552,0.007197481,0.006387764,0.139361224,0.121727395,0.087089519,0.006117859,1.354841232,147.1320801,79.65212176,628946.5544,4756620.018,0.78053947,1
41,42,0.008005037,0.04461234,0.00998381,0.001529052,0,0.00530671,0.362655154,0.07987048,0.342597589,0.011153085,0.011422918,0.111710739,0,0.003957546,0.007195539,1.626321077,291.6193848,70.90603826,559376.4458,4737646.352,0.23180865,1
42,43,0.000541028,0.070333634,0.020468891,0.003877367,0.000270514,0.001623084,0.455635708,0.011361587,0.068800721,0.002164112,0.003336339,0.335437331,0.018485122,0.00748422,0.000180343,1.503684282,441.3846741,74.48151488,148280.35,4664913.966,0.957987315,0
43,44,0.003058104,0.065659291,0.017719014,0.006206152,0.002428494,0.004227379,0.33962943,0.049199496,0.226299694,0.010703364,0.009713977,0.250944414,8.99E-05,0.010163699,0.003957546,2.596850872,375.7886047,72.88481142,413911.6734,4671238.521,0.391976724,16
44,45,0.193452649,0.031117906,0.00512636,0.002698084,0.000359745,0.000809425,0.135623707,0.355247774,0.037143628,0.003057829,0.007104955,0,0,0.222681896,0.005576041,0.668714404,488.1355896,69.88038493,549889.6129,4905247.068,0.297252422,1
45,46,0.001802451,0.027126893,0.005046864,9.01E-05,9.01E-05,0,0.414023071,0.11517664,0.167988464,0.002613554,0.001532084,0.183489546,0.073449892,0.00666907,0.000901226,1.403758049,472.8381653,48.36577746,208363.6256,4715510.408,0.94696399,0
46,47,0.003598093,0.157866331,0.179994603,0.361968157,0.219483674,0.000269857,0.050103445,0.000539714,0.001799047,9.00E-05,0.000449762,0.009444994,0,0.014392372,0,3.395700455,59.80289841,19.66957513,590999.2225,4617479.801,0.87802047,10
47,48,0.027019724,0.070701612,0.010988021,0.001621183,0.000360263,0.000180131,0.436728812,0.054669909,0.131586058,0.00720526,0.000540394,0.044942808,0.128974151,0.068540034,0.015941637,1.42175746,344.8369141,78.8075295,252635.5128,4718672.686,0.907182255,8
48,49,0.000720851,0.092989728,0.037213912,0.010902865,0.002432871,0.001982339,0.320237881,0.03973689,0.139484592,0.003153721,0.003063615,0.269417913,0.046494864,0.025229771,0.006938187,1.306535602,464.0996704,89.83600649,214688.1809,4709185.853,0.378566042,1
49,50,0.002880807,0.072380266,0.028808066,0.003060857,0.00018005,0.000270076,0.156193734,0.005941664,0.043122074,0.000630176,0.004681311,0.257021966,0.303294923,0.118113072,0.003420958,3.740057468,162.4326477,66.97875405,306394.233,4778755.961,0.812647648,1
50,51,0.003507825,0.028422378,0.002608383,0.000539665,0,0,0.656233135,0.042723511,0.003957546,0,0.000179888,0,0,0.242849433,0.018978233,0.763589263,472.7214661,103.4658512,432885.3394,4842001.515,0.19832142,0
51,52,0.00539714,0.004407664,0.000539714,0.000359809,0,0,0.839884861,0.04911397,0.016191419,0.00116938,0.010344517,0.009624899,0,0.060627867,0.00233876,0.759784102,517.9751587,33.16242392,451859.0054,4823027.849,0.011317235,0
52,53,0.002609087,0.019793072,0.001079622,0.000269906,0,9.00E-05,0.845973909,0.045973909,0.052271705,0.009446694,0.001439496,0.001079622,0.003418803,0.015744489,0.000809717,0.966219425,402.6228333,27.7402909,603648.3331,4962168.066,0.072757564,0
53,54,0.003597122,0.007553957,0.000539568,0,0,0,0.307643885,0.007284173,0.036420863,0.002967626,0.001258993,0.04307554,0.004226619,0.576438849,0.008992806,0.711835384,310.8360901,82.31414868,590999.2225,4974817.176,0.031609968,0
54,55,0,0.033861671,0.015760086,0.005313401,0.000270173,0,0.045028818,0.000540346,0.002071326,0.001080692,0,0.040615994,0.625540346,0.224963977,0.00495317,1.780544281,198.5789795,20.59317963,249473.2351,4778755.961,0.432124458,0
55,56,0.001801477,0.084399207,0.029544226,0.00675554,0.000720591,0.002612142,0.237794992,0.063321924,0.212574311,0.002972437,0.007205909,0.300666547,0.025400829,0.018735363,0.005494505,1.304100633,440.3131714,87.64186633,249473.2351,4687049.909,0.149846326,0
56,57,0.000359615,0.027780275,0.000359615,0.000179808,0.000269711,0,0.716443406,0.095837454,0.051514879,0.003686056,0.036500944,0.047738919,0.001258653,0.017890857,0.000179808,1.206423998,435.5402832,41.56552489,473994.949,4804054.183,0.226733969,0
57,58,0.001169275,0.015470408,0.000359777,0,0,0,0.759309228,0.012232416,0.001079331,0,8.99E-05,0,0,0.198776758,0.011512862,0.694793284,435.7554321,64.69988607,432885.3394,4832514.682,0.814506484,1
58,59,9.00E-05,0.366678661,0.31036344,0.116498741,0.026178481,0,0.05829435,0.003598417,0.113889888,0.002608852,0.000989565,0.000809644,0,0,0,9.616181374,56.27364349,69.95921794,616297.4438,4516286.916,0.454716168,3
59,60,0.002068717,0.025634107,0.008634647,0.001079331,0,0,0.713077892,0.047220723,0.05054866,0.01295197,0.001439108,0.117287282,0.000539665,0.019068178,0.000449721,1.317618728,316.4945679,51.29819512,616297.4438,4630128.911,0.844378148,0
60,61,0.003597446,0.033636118,0.010702401,0.000899361,0,0,0.536918788,0.049554816,0.032017268,0.030488353,8.99E-05,0.233564169,0.049734688,0.016278442,0.002518212,1.540344477,459.3476868,75.51638337,410749.3958,4743970.907,0.643656468,0
61,62,0.000180245,0.016402307,0.000450613,0,9.01E-05,0,0.917898342,0.008922134,0.054614275,0.001081471,0,0.00036049,0,0,0,1.426408529,640.0687256,12.7072819,205201.3479,4674400.799,0.72074836,1
62,63,0.017983994,0.040823667,0.004226239,0.0008992,8.99E-05,0.00017984,0.21940473,0.068159338,0.404280191,0.003237119,0.001708479,0.190630339,0.00053952,0.03174175,0.016095675,1.410902977,483.0070801,66.06120553,455021.2831,4690212.187,0.221932615,0
63,64,0,0.021131193,0.004226239,0.00053952,0.00026976,0,0.591943171,0.047657585,0.058537901,0.007643198,0.002247999,0.122650841,0.116176603,0.021670713,0.005305278,1.352870226,491.3641052,23.40916584,420236.2288,4737646.352,0.839462292,0
64,65,0.001079331,0.037416802,0.016729628,0.002248606,0.000809498,0,0.107843137,0.047490556,0.259399173,0.004856989,0.025993884,0.320021587,0.050368771,0.114858788,0.010883252,2.030117035,244.640213,84.36769203,575187.8341,4756620.018,0.695142029,0
65,66,0.022264287,0.033351361,0.00757166,0.001712637,0.000450694,0.004056247,0.212457184,0.194068866,0.324680007,0.000630972,0.002794303,0.050477736,0.138543357,0.006129439,0.000811249,1.331428528,355.6014404,50.89838351,192552.2372,4709185.853,0.323754434,0
66,67,0.010431655,0.005935252,0.007643885,0.002697842,8.99E-05,0.000359712,0.575,0.207194245,0.077428058,0.005485612,0.004856115,0,0,0.095953237,0.00692446,0.45821023,578.2358398,39.98800959,556214.1682,4870462.013,0.297288928,0
67,68,0.002430243,0.05139514,0.017191719,0.00270027,0.000360036,0,0.253105311,0.019981998,0.111971197,0.025832583,0.002970297,0.268046805,0.237713771,0.004770477,0.001530153,1.58936882,317.1028748,58.23582358,347503.8426,4709185.853,0.704995652,0
68,69,0.022149601,0.064179375,0.124001452,0.296023965,0.190177923,0.032861293,0.024055919,0,0.001089325,0.036401598,0.063543936,0.035493827,0.015068991,0.038307916,0.05664488,5.220404625,178.6098022,12.61801017,186235.5613,4750299.558,0.598951426,100
69,70,0.083183453,0.018794964,0.00692446,0.005395683,0.000269784,0,0.577877698,0.114028777,0.125989209,0.008093525,0.002967626,0.00044964,0,0.053866906,0.002158273,0.458366454,584.6544189,44.9940048,518266.8363,4845163.792,0.766693245,2
70,71,0.110863758,0.004007124,0.000445236,0,0,0.001335708,0.406055209,0.097951915,0.239091719,0.013357079,0,0.122885129,0,0.000890472,0.003116652,0.497353941,304.0739136,58.17750074,478272.8295,4636835.442,0.775333489,0
71,72,0,0.039351643,0.003962179,0.001080594,0,0,0.302116164,0.020351193,0.157676722,0.003421882,0.002971634,0.374245835,0.091580369,0.002341288,0.000900495,1.737805963,506.3412476,72.12967132,293745.1224,4699699.02,0.814319177,0
72,73,0.000449802,0.029686938,0.014753508,0.002338971,0,0,0.688916877,0.039312702,0.068010076,0.001799208,0,0.046869377,0,0.107322778,0.000539763,1.648864508,194.3115997,51.93714766,609972.8884,4661751.688,0.123141856,0
73,74,0.01762907,0.045062062,0.049829106,0.024734665,0.001978773,0.003327937,0.381183666,0.0382263,0.255981292,0.004317323,0.003597769,0.136175571,0.029411765,0.008454758,8.99E-05,1.47832346,392.9170837,83.07849134,480319.5043,4690212.187,0.492339876,1
74,75,0.006309717,0.037948441,0.032630251,0.003515414,0.000450694,0.000540833,0.159275284,0,0.002163332,0.002433748,0.001352082,0.097169641,0.486389039,0.158734451,0.011087074,1.7910496,101.971611,42.00468722,179903.1266,4791405.072,0.290435207,4
75,76,8.99E-05,0.053696708,0.007555316,0.002158662,0.000269833,0,0.287012053,0.032649757,0.048389998,0.014301133,0.022576003,0.346465192,0.139863285,0.042363734,0.002608383,1.820750833,375.8883057,62.15146609,445534.45,4759782.295,0.327841692,0
76,77,0.000449721,0.032469869,0.010343587,0.003957546,0.000269833,0,0.406817773,0.040744738,0.324878575,0.002788271,0,0.159291239,0.011512862,0.002698327,0.003777658,1.978173256,451.5181885,51.14828806,439209.8947,4668076.243,0.449111031,0
77,78,0.001532774,0.021098188,0.004598323,0.001081958,0.000180326,0,0.31376792,0.093048418,0.171490398,0.00847534,0.001532774,0.218465422,0.04796682,0.09340907,0.023352268,1.310267687,434.2901306,59.68803534,189389.9596,4702861.298,0.298988373,3
78,79,0.025089928,0.079046763,0.05926259,0.030485612,0.003327338,0.002248201,0.418435252,0.067985612,0.201258993,0.001618705,0.00602518,0.01573741,0,0.085431655,0.004046763,1.996781588,360.7163086,76.07913669,537240.5022,4617479.801,0.657273467,0
79,80,0.00045041,0.198991082,0.083596072,0.026123773,0.005855328,0.003423115,0.498513647,0.000720656,0.038014593,0,0.004594181,0.10764796,0.030537789,0.00135123,0.000180164,1.259713888,21.35603714,116.3859112,739626.2725,4541585.137,0.376960112,0
80,81,0.002735402,0.081430826,0.018937401,0.004629143,0.000210416,0.001262493,0.385481326,0.002945818,0.041451867,0.001998948,0.008627038,0.283324566,0,0.135612835,0.03135192,1.306894183,142.8093262,107.6275644,546873.981,4567075.702,0.552778347,0
81,82,0.000809498,0.053067098,0.137884512,0.184835402,0.036337471,0.000719554,0.129519698,0.044342508,0.025634107,0.020867062,0.005666487,0.273430473,0.052707321,0.028512322,0.005666487,1.902975678,152.9331818,49.37938478,432885.3394,4876786.569,0.704281698,0
82,83,0.053820538,0.050490505,0.007470075,0.001170012,0,9.00E-05,0.507065071,0.012330123,0.103591036,0.01296013,0.001530015,0.194401944,0.050310503,0.003780038,0.00099001,1.690096855,397.6882019,65.76065761,306394.233,4734484.074,0.914483684,0
83,84,0,0.038046411,0.011332974,0.00233855,0.000269833,0,0.414552977,0.023205613,0.028152545,0.014750854,0.00062961,0.129249865,0.280536068,0.052167656,0.004767044,1.677680612,497.7907715,58.58367812,394938.0075,4728159.519,0.848964111,0
84,85,0.003508141,0.04137807,0.008545471,0.004767473,0,0,0.493028695,0.194926689,0.116758118,0.013852658,0.001978951,0.012053612,0,0.104614554,0.004587569,1.093449235,401.2026062,66.71464124,496130.8926,4794567.35,0.530262472,0
85,86,8.99E-05,0.03165183,0.012408956,0.004495999,0,0.00053952,0.62566316,0.029134071,0.137307796,0,0.00125888,0.013308156,0,0.144051794,8.99E-05,1.488825083,541.1379395,54.10184935,508780.0032,4706023.575,0.85868533,0
86,87,0.113679288,0.0447882,0.013130677,0.004766616,0.000539617,0.002788021,0.153161256,0.529903768,0.083011062,0.001888659,0.005665977,0.017447612,0,0.024282759,0.004946488,1.197324514,245.3697968,65.77330096,590999.2225,4794567.35,0.154383122,0
87,88,0.001798723,0.049105135,0.021764547,0.00980304,0.003237701,0.00116917,0.505531073,0.043978775,0.067721917,0.00863387,0.002158467,0.222232215,0.04946488,0.003867254,0.009533231,1.633012176,519.3641357,55.04092095,404424.8405,4706023.575,0.837347135,0
88,89,0.010160043,0.046664269,0.020320086,0.008901277,0.000899119,8.99E-05,0.34319367,0.411256968,0.108074087,0.016633699,0.00188815,0.003956123,0,0.027423125,0.000539471,0.735734105,425.4607239,64.25702811,502455.4479,4797729.627,0.214382422,0
89,90,0.068531343,0.023293462,0.005396169,0.002608148,0.000539617,0.000989298,0.105405162,0.359474773,0.015019336,0.011781635,0.009083551,0.171148485,0.121773541,0.102167461,0.002788021,0.85193491,286.0541382,86.03891237,470832.6713,4864137.458,0.75519805,0
90,91,0.001709094,0.05649006,0.00656652,0.002518665,0.000449762,0.001259333,0.245479896,0.053251777,0.281910587,0.002878474,0.010344517,0.306197715,0.020689035,0.009175137,0.001079428,1.151984692,451.8104858,67.16440287,398100.2852,4652264.855,0.678636979,0
91,92,0,0.043192657,0.013317736,0.002249618,0.000359939,0.000989832,0.320075587,0.006028975,0.137136687,0.009448394,0.000179969,0.386394313,0.07099793,0.009448394,0.000179969,1.911334038,497.8692322,67.93845046,363315.2309,4696536.742,0.220684192,4
92,93,0.074030764,0.027525412,0.005307187,0.001709094,0.000269857,0.001709094,0.766213907,0.003957902,0.025996222,0.000539714,0.006746424,0.001259333,0,0.079517856,0.005217235,1.795889497,271.24646,44.25654403,562538.7235,4560558.803,0.483330523,4
93,94,0,0.029501709,0.005036877,0.001978773,0.00062961,0,0.603975535,0.030311207,0.098398993,0.009893866,0.00827487,0.178359417,0.033279367,0.000359777,0,1.807761788,324.2217407,47.58050009,499293.1703,4772431.406,0.245241844,0
94,95,0.011780576,0.020323741,0.001618705,8.99E-05,0,0.000269784,0.323741007,0.116456835,0.431384892,0.000269784,0,0.077158273,0,0.013848921,0.003057554,1.496226072,449.9829712,40.97721823,445534.45,4677563.076,0.682334883,1
95,96,0.001528777,0.026348921,0.014478417,0.005755396,0.000269784,0,0.085881295,0.029046763,0.008543165,0.011151079,0.012769784,0.166906475,0.283633094,0.325089928,0.028597122,1.094314218,100.730629,42.05635492,473994.949,4946356.677,0.570487635,0
96,97,0,0.040129566,0.066312759,0.008907684,9.00E-05,0.00503869,0.068472197,0.152690301,0.01430628,0.014396257,0.016465719,0.341911103,0.226741047,0.041209286,0.003329134,1.205566525,109.3769836,49.42714894,619459.7214,4933707.567,0.444168972,0
97,98,0.000720072,0.02070207,0.004860486,0.000630063,9.00E-05,0.000360036,0.652205221,0.052655266,0.149684968,0.027992799,0.015481548,0.006210621,0,0.057785779,0.010621062,1.378509283,398.1711731,51.75517552,609972.8884,4959005.788,0.777422581,0
98,99,0.003599064,0.043368724,0.00503869,0.001259672,9.00E-05,9.00E-05,0.48515386,0.015835883,0.339031852,0.001979485,0.000899766,0.102393378,0,0.000899766,0.000359906,1.555118799,504.9525146,48.67734389,372802.0639,4683887.632,0.75248151,0
99,100,0.008454758,0.027972657,0.01699946,0.007195539,0.000899442,0,0.148318043,0.050098939,0.011063141,0.002608383,0.006296096,0.2808059,0.120345386,0.288181328,0.030760928,0.901898563,98.86833954,55.6754812,467670.3937,4946356.677,0.8145063,0
100,101,0.011512862,0.039485519,0.022576003,0.007735204,0.000179888,0.000449721,0.836301493,0.001169275,0.008904479,0.001798885,0.000449721,0.008364814,0,0.05054866,0.010523475,2.394270658,256.2776184,65.44942136,613135.1661,4598506.135,0.750518928,0
101,102,0.033189423,0.053876597,0.0046771,0.001169275,8.99E-05,0.000539665,0.594531391,0.02995143,0.24680698,0.005846375,0.001349164,0.020867062,0,0.00530671,0.001798885,0.611511648,470.8510437,53.87659651,480319.5043,4639615.744,0.120817422,0
102,103,0.010213046,0.029431144,0.029431144,0.005600703,0.001098177,0.017790468,0.212167801,0.05545794,0.049088513,0.008895234,0.017461015,0.46365034,0.030748957,0.044805623,0.024159895,0.805603385,101.5863876,67.0986163,407715.5223,4895501.897,0.681514681,0
103,104,0.000719489,0.059447792,0.002248404,0.000809425,8.99E-05,0,0.456156129,0.246694847,0.043079414,0.001708787,0.001349042,0.13463441,0,0.049914561,0.003147765,0.996100068,284.2992249,60.16728123,436047.6171,4807216.46,0.193753528,0
104,105,0.000720266,0.027640227,0.014765463,0.002971099,0.0002701,0,0.136670568,0.052309354,0.203385253,0.004141532,0.004591699,0.169532727,0.374448546,0.006752498,0.001800666,1.671496391,472.0393982,39.52462411,277933.7341,4702861.298,0.406114026,0
105,106,0.005407354,0.034787311,0.009372747,0.001261716,9.01E-05,0.005767844,0.462689257,0.066420332,0.225847152,0.007660418,0.004416006,0.060021629,0.074531363,0.017934391,0.023792358,1.404928207,407.2120361,62.03436674,205201.3479,4712348.13,0.733848082,1
106,107,0.008633094,0.033723022,0.001348921,0.000359712,0,0,0.532194245,0.245773381,0.114028777,0.003507194,0.002248201,0.00044964,0,0.057643885,8.99E-05,0.924702942,419.5708313,51.558753,492968.615,4807216.46,0.634386762,0
107,108,0.02823804,0.146324387,0.088914819,0.028704784,0.001633606,0,0.610268378,0.010968495,0.050175029,0.005367561,0.004667445,0.009101517,0,0.015169195,0.000466744,1.634389877,185.6024323,116.7639051,621651.0262,4589047.093,0.178540465,0
108,109,0.072032374,0.004136691,0.000269784,0.000179856,0,0.00044964,0.757014388,0.006294964,0.01618705,0.039298561,0.004406475,0.002517986,0,0.089838129,0.007374101,0.788274348,387.1060791,57.25419664,515104.5586,4930545.289,0.586838884,0
