"","FID","FID_allPOd","Field1","X","SOURCE_ID","SOURCE_NAM","DATE","Month","Year","Day","Week1","Week","TIME","Lat","Long","SPECIES","FID_allNY_OG","FID_allNY_10km","Id","Shape_Leng","Shape_Area","FID_","Deciduous","duplicate"
"127",126,16,8456,8456,"GBIF_CAMILLO_10955","GBIF","13-Oct-21",10,2021,285,40.71428571,40,NA,42.128904,-73.896115,"Lynx rufus",10216,10217,0,12649.1108,10000000.25,10217,74.75710687,FALSE
"128",127,157,83937,83937,"NYS Nuisance Wildlife Complaint_22073","NYS Nuisance Wildlife Complaint","11/5/2019",11,2019,308,44,44," ",42.16265,-76.7939,"Lynx rufus",1998,1999,0,12649.1106,9999999.937,1999,25.22117259,FALSE
"129",128,21,8461,8461,"GBIF_CAMILLO_10960","GBIF","15-Nov-17",11,2017,318,45.42857143,45,NA,42.18897,-73.734502,"Lynx rufus",11409,11410,0,12649.1106,9999999.937,11410,81.11510791,FALSE
"130",129,44,8484,8484,"GBIF_CAMILLO_10983","GBIF","24-Feb-18",2,2018,54,7.714285714,7,NA,42.215431,-74.001614,"Lynx rufus",5368,5369,0,12649.1106,9999999.937,5369,38.35312463,FALSE
"132",131,98,8580,8580,"GBIF_CAMILLO_11089","GBIF","23-Oct-13",10,2013,295,42.14285714,42,NA,42.292296,-76.507802,"Lynx rufus",11669,11670,0,12649.1106,9999999.937,11670,55.80042577,FALSE
"134",133,156,82943,82943,"NYS Nuisance Wildlife Complaint_23189","NYS Nuisance Wildlife Complaint","1/29/2020",1,2020,28,4,4," ",42.33344,-75.11085,"Lynx rufus",9630,9631,0,12649.1106,9999999.937,9631,70.02398082,FALSE
"135",134,41,8481,8481,"GBIF_CAMILLO_10980","GBIF","18-Feb-18",2,2018,48,6.857142857,6,NA,42.382138,-76.561942,"Lynx rufus",4703,4704,0,12649.1106,9999999.937,4704,76.7431399,FALSE
"137",136,25,8465,8465,"GBIF_CAMILLO_10964","GBIF","20-Feb-20",2,2020,50,7.142857143,7,NA,42.386773,-76.544651,"Lynx rufus",4703,4704,0,12649.1106,9999999.937,4704,76.7431399,FALSE
"138",137,38,8478,8478,"GBIF_CAMILLO_10977","GBIF","17-Aug-20",8,2020,229,32.71428571,32,NA,42.389942,-76.373994,"Lynx rufus",12524,12525,0,12649.1106,9999999.937,12525,85.28247571,FALSE
"139",138,85,8551,8551,"GBIF_CAMILLO_11050","GBIF","2-Jan-21",1,2021,1,0.142857143,0,NA,42.389948,-76.373804,"Lynx rufus",12524,12525,0,12649.1106,9999999.937,12525,85.28247571,FALSE
"140",139,7,8447,8447,"GBIF_CAMILLO_10946","GBIF","20-Feb-20",2,2020,50,7.142857143,7,NA,42.392353,-76.372872,"Lynx rufus",12524,12525,0,12649.1106,9999999.937,12525,85.28247571,FALSE
"143",142,107,8592,8592,"GBIF_CAMILLO_11101","GBIF","17-Dec-21",12,2021,350,50,50,NA,42.425634,-76.499733,"Lynx rufus",5886,5887,0,12649.1106,9999999.937,5887,42.01151493,FALSE
"144",143,31,8471,8471,"GBIF_CAMILLO_10970","GBIF","7-Mar-21",3,2021,65,9.285714286,9,NA,42.428545,-76.408378,"Lynx rufus",5854,5855,0,12649.1106,9999999.937,5855,65.11962583,FALSE
"147",146,137,8623,8623,"GBIF_CAMILLO_11132","GBIF","24-Nov-19",11,2019,327,46.71428571,46,NA,42.459321,-77.999764,"Lynx rufus",12030,12031,0,12649.1106,9999999.937,12031,51.35824704,FALSE
"148",147,155,82056,82056,"NYS Nuisance Wildlife Complaint_23220","NYS Nuisance Wildlife Complaint","1/30/2020",1,2020,29,4.142857143,4," ",42.47876,-76.35641,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"149",148,132,8617,8617,"GBIF_CAMILLO_11126","GBIF","21-Jan-21",1,2021,20,2.857142857,2,NA,42.481949,-76.370136,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"150",149,35,8475,8475,"GBIF_CAMILLO_10974","GBIF","26-May-20",5,2020,146,20.85714286,20,NA,42.483664,-76.369181,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"152",151,138,8624,8624,"GBIF_CAMILLO_11133","GBIF","6-Jul-20",7,2020,187,26.71428571,26,NA,42.483695,-76.369254,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"153",152,119,8604,8604,"GBIF_CAMILLO_11113","GBIF","25-Sep-19",9,2019,267,38.14285714,38,NA,42.483698,-76.369176,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"154",153,39,8479,8479,"GBIF_CAMILLO_10978","GBIF","12-Jul-19",7,2019,192,27.42857143,27,NA,42.483699,-76.369237,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"155",154,120,8605,8605,"GBIF_CAMILLO_11114","GBIF","13-Nov-19",11,2019,316,45.14285714,45,NA,42.483704,-76.369213,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"156",155,10,8450,8450,"GBIF_CAMILLO_10949","GBIF","13-Apr-19",4,2019,102,14.57142857,14,NA,42.483707,-76.369254,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"157",156,8,8448,8448,"GBIF_CAMILLO_10947","GBIF","29-Apr-19",4,2019,118,16.85714286,16,NA,42.483715,-76.369231,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"158",157,141,8627,8627,"GBIF_CAMILLO_11136","GBIF","2-Apr-20",4,2020,92,13.14285714,13,NA,42.483717,-76.369188,"Lynx rufus",7622,7623,0,12649.1108,10000000.25,7623,61.9116148,FALSE
"159",158,128,8613,8613,"GBIF_CAMILLO_11122","GBIF","26-Mar-20",3,2020,85,12.14285714,12,NA,42.48466,-76.369176,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"160",159,133,8618,8618,"GBIF_CAMILLO_11127","GBIF","14-Dec-19",12,2019,347,49.57142857,49,NA,42.484705,-76.369213,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"161",160,12,8452,8452,"GBIF_CAMILLO_10951","GBIF","19-Jan-20",1,2020,18,2.571428571,2,NA,42.484723,-76.369155,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"162",161,109,8594,8594,"GBIF_CAMILLO_11103","GBIF","1-Dec-19",12,2019,334,47.71428571,47,NA,42.484843,-76.369239,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"163",162,27,8467,8467,"GBIF_CAMILLO_10966","GBIF","22-Apr-20",4,2020,112,16,16,NA,42.485594,-76.370803,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"164",163,9,8449,8449,"GBIF_CAMILLO_10948","GBIF","8-May-20",5,2020,128,18.28571429,18,NA,42.485613,-76.370814,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"166",165,46,8486,8486,"GBIF_CAMILLO_10985","GBIF","6-Dec-18",12,2018,339,48.42857143,48,NA,42.487099,-76.368208,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"167",166,43,8483,8483,"GBIF_CAMILLO_10982","GBIF","14-Mar-19",3,2019,72,10.28571429,10,NA,42.487673,-76.369072,"Lynx rufus",3139,3140,0,12649.1108,10000000.25,3140,65.25128943,FALSE
"168",167,121,8606,8606,"GBIF_CAMILLO_11115","GBIF","2-Jan-20",1,2020,1,0.142857143,0,NA,42.504275,-76.29289,"Lynx rufus",12551,12552,0,12649.1106,9999999.937,12552,57.45471992,FALSE
"169",168,32,8472,8472,"GBIF_CAMILLO_10971","GBIF","20-Mar-20",3,2020,79,11.28571429,11,NA,42.504915,-76.678281,"Lynx rufus",4639,4640,0,12649.1106,9999999.937,4640,34.6047739,FALSE
"170",169,102,8587,8587,"GBIF_CAMILLO_11096","GBIF","4-Apr-19",4,2019,93,13.28571429,13,NA,42.52846,-75.305593,"Lynx rufus",12625,12626,0,12649.1106,9999999.937,12626,73.02815001,FALSE
"171",170,130,8615,8615,"GBIF_CAMILLO_11124","GBIF","3-Jul-18",7,2018,183,26.14285714,26,NA,42.532895,-76.353163,"Lynx rufus",3276,3277,0,12649.1108,10000000.25,3277,78.64831639,FALSE
"172",171,153,81257,81257,"NYS Nuisance Wildlife Complaint_23728","NYS Nuisance Wildlife Complaint","3/1/2020",3,2020,60,8.571428571,8," ",42.60908,-77.15481,"Lynx rufus",2188,2189,0,12649.1106,9999999.937,2189,57.46505908,FALSE
"173",172,154,81258,81258,"NYS Nuisance Wildlife Complaint_23829","NYS Nuisance Wildlife Complaint","3/10/2020",3,2020,69,9.857142857,9," ",42.60908,-77.15481,"Lynx rufus",2188,2189,0,12649.1106,9999999.937,2189,57.46505908,FALSE
"174",173,113,8598,8598,"GBIF_CAMILLO_11107","GBIF","3-May-21",5,2021,122,17.42857143,17,NA,42.611905,-73.889493,"Lynx rufus",1319,1320,0,12649.1106,9999999.937,1320,111.3709266,FALSE
"175",174,45,8485,8485,"GBIF_CAMILLO_10984","GBIF","28-May-21",5,2021,147,21,21,NA,42.614325,-73.893182,"Lynx rufus",1319,1320,0,12649.1106,9999999.937,1320,111.3709266,FALSE
"176",175,30,8470,8470,"GBIF_CAMILLO_10969","GBIF","8-May-20",5,2020,128,18.28571429,18,NA,42.615299,-73.892397,"Lynx rufus",1319,1320,0,12649.1106,9999999.937,1320,111.3709266,FALSE
"177",176,127,8612,8612,"GBIF_CAMILLO_11121","GBIF","27-Apr-21",4,2021,116,16.57142857,16,NA,42.615604,-73.892391,"Lynx rufus",1319,1320,0,12649.1106,9999999.937,1320,111.3709266,FALSE
"180",179,49,8489,8489,"GBIF_CAMILLO_10988","GBIF","21-Feb-20",2,2020,51,7.285714286,7,NA,42.622325,-73.999123,"Lynx rufus",8644,8645,0,12649.1106,9999999.937,8645,68.53750675,FALSE
"181",180,152,81188,81188,"NYS Nuisance Wildlife Complaint_21327","NYS Nuisance Wildlife Complaint","9/16/2019",9,2019,258,36.85714286,36," ",42.62237,-77.42854,"Lynx rufus",1984,1985,0,12649.1106,9999999.937,1985,66.64266211,FALSE
"182",181,151,81144,81144,"NYS Nuisance Wildlife Complaint_20012","NYS Nuisance Wildlife Complaint","8/12/2019",8,2019,223,31.85714286,31," ",42.62778,-77.69753,"Lynx rufus",10366,10367,0,12649.1106,9999999.937,10367,65.49012546,FALSE
"184",183,33,8473,8473,"GBIF_CAMILLO_10972","GBIF","8-May-20",5,2020,128,18.28571429,18,NA,42.648734,-73.938694,"Lynx rufus",10722,10723,0,12649.1106,9999999.937,10723,91.77310068,FALSE
"185",184,100,8585,8585,"GBIF_CAMILLO_11094","GBIF","8-Feb-20",2,2020,38,5.428571429,5,NA,42.681407,-73.90486,"Lynx rufus",3454,3455,0,12649.1106,9999999.937,3455,104.545182,FALSE
"187",186,108,8593,8593,"GBIF_CAMILLO_11102","GBIF","18-Apr-20",4,2020,108,15.42857143,15,NA,42.700849,-73.801688,"Lynx rufus",1927,1928,0,12649.1108,10000000.25,1928,13.10305538,FALSE
"188",187,149,80760,80760,"NYS Nuisance Wildlife Complaint_21201","NYS Nuisance Wildlife Complaint","9/11/2019",9,2019,253,36.14285714,36," ",42.71692,-77.66117,"Lynx rufus",5887,5888,0,12649.1106,9999999.937,5888,64.52387383,FALSE
"189",188,150,80761,80761,"NYS Nuisance Wildlife Complaint_22017","NYS Nuisance Wildlife Complaint","10/27/2019",10,2019,299,42.71428571,42," ",42.71692,-77.66117,"Lynx rufus",5887,5888,0,12649.1106,9999999.937,5888,64.52387383,FALSE
"190",189,22,8462,8462,"GBIF_CAMILLO_10961","GBIF","2-Mar-20",3,2020,61,8.714285714,8,NA,42.750827,-73.341395,"Lynx rufus",11133,11134,0,12649.1106,9999999.937,11134,80.21855955,FALSE
"191",190,105,8590,8590,"GBIF_CAMILLO_11099","GBIF","23-Mar-20",3,2020,82,11.71428571,11,NA,42.750827,-73.341395,"Lynx rufus",11133,11134,0,12649.1106,9999999.937,11134,80.21855955,FALSE
"193",192,148,80743,80743,"NYS Nuisance Wildlife Complaint_17862","NYS Nuisance Wildlife Complaint","5/25/2019",5,2019,144,20.57142857,20," ",42.75184,-74.31049,"Lynx rufus",11384,11385,0,12649.1106,9999999.937,11385,66.44478426,FALSE
"195",194,112,8597,8597,"GBIF_CAMILLO_11106","GBIF","31-Jan-21",1,2021,30,4.285714286,4,NA,42.756551,-75.665491,"Lynx rufus",4560,4561,0,12649.1106,9999999.937,4561,44.12470024,FALSE
"196",195,147,80695,80695,"NYS Nuisance Wildlife Complaint_15857","NYS Nuisance Wildlife Complaint","3/11/2019",3,2019,69,9.857142857,9," ",42.77164,-73.33364,"Lynx rufus",5345,5346,0,12649.1106,9999999.937,5346,56.12489512,FALSE
"197",196,24,8464,8464,"GBIF_CAMILLO_10963","GBIF","11-Feb-20",2,2020,41,5.857142857,5,NA,42.772774,-73.894664,"Lynx rufus",10671,10672,0,12649.1106,9999999.937,10672,35.50118437,FALSE
"198",197,83,8549,8549,"GBIF_CAMILLO_11048","GBIF","9-May-20",5,2020,129,18.42857143,18,NA,42.777085,-73.810856,"Lynx rufus",1753,1754,0,12649.1106,9999999.937,1754,60.06654078,FALSE
"199",198,116,8601,8601,"GBIF_CAMILLO_11110","GBIF","6-May-20",5,2020,126,18,18,NA,42.782065,-73.86247,"Lynx rufus",8126,8127,0,12649.1106,9999999.937,8127,95.52936943,FALSE
"200",199,146,80319,80319,"NYS Nuisance Wildlife Complaint_23646","NYS Nuisance Wildlife Complaint","2/19/2020",2,2020,49,7,7," ",42.82462,-78.39673,"Lynx rufus",364,365,0,12649.1106,9999999.937,365,59.54954955,FALSE
"202",201,99,8584,8584,"GBIF_CAMILLO_11093","GBIF","3-Jul-20",7,2020,184,26.28571429,26,NA,42.866593,-73.45953,"Lynx rufus",838,839,0,12649.1106,9999999.937,839,81.34545564,FALSE
"203",202,123,8608,8608,"GBIF_CAMILLO_11117","GBIF","15-Nov-21",11,2021,318,45.42857143,45,NA,42.93192,-75.994797,"Lynx rufus",12655,12656,0,12649.1108,10000000.25,12656,55.76041011,FALSE
"204",203,134,8619,8619,"GBIF_CAMILLO_11128","GBIF","14-Mar-16",3,2016,73,10.42857143,10,NA,42.95435,-73.627205,"Lynx rufus",7162,7163,0,12649.1106,9999999.937,7163,70.46094827,FALSE
"205",204,145,79674,79674,"NYS Nuisance Wildlife Complaint_24502","NYS Nuisance Wildlife Complaint","3/1/2020",3,2020,60,8.571428571,8," ",42.98064,-77.672,"Lynx rufus",7142,7143,0,12649.1106,9999999.937,7143,85.56936191,FALSE
"206",205,144,79476,79476,"NYS Nuisance Wildlife Complaint_19519","NYS Nuisance Wildlife Complaint","7/26/2019",7,2019,206,29.42857143,29," ",43.07739,-74.68385,"Lynx rufus",5671,5672,0,12649.1106,9999999.937,5672,69.51438849,FALSE
"207",206,143,79168,79168,"NYS Nuisance Wildlife Complaint_24668","NYS Nuisance Wildlife Complaint","4/24/2020",4,2020,114,16.28571429,16," ",43.08015,-77.87526,"Lynx rufus",6197,6198,0,12649.1106,9999999.937,6198,40.67603266,FALSE
"208",207,142,78927,78927,"NYS Nuisance Wildlife Complaint_19200","NYS Nuisance Wildlife Complaint","7/17/2019",7,2019,197,28.14285714,28," ",43.16127,-76.89536,"Lynx rufus",6962,6963,0,12649.1106,9999999.937,6963,65.47886859,FALSE
"209",208,34,8474,8474,"GBIF_CAMILLO_10973","GBIF","6-Sep-18",9,2018,248,35.42857143,35,NA,43.381213,-73.608388,"Lynx rufus",2977,2978,0,12649.1106,9999999.937,2978,82.84609157,FALSE
"210",209,96,8577,8577,"GBIF_CAMILLO_11086","GBIF","2-May-21",5,2021,121,17.28571429,17,NA,43.429365,-73.572548,"Lynx rufus",3256,3257,0,12649.1106,9999999.937,3257,54.81588101,FALSE
"213",212,126,8611,8611,"GBIF_CAMILLO_11120","GBIF","6-Mar-18",3,2018,64,9.142857143,9,NA,43.56009,-73.263749,"Lynx rufus",12711,12712,0,10665.82965,4606305.462,12712,29.09019914,FALSE
"214",213,161,86650,86650,"NYS Nuisance Wildlife Complaint_21457","NYS Nuisance Wildlife Complaint","9/27/2019",9,2019,269,38.42857143,38," ",43.68967,-73.86459,"Lynx rufus",5239,5240,0,12649.1106,9999999.937,5240,71.62980279,FALSE
"215",214,160,86580,86580,"NYS Nuisance Wildlife Complaint_20819","NYS Nuisance Wildlife Complaint","8/29/2019",8,2019,240,34.28571429,34," ",43.72856,-73.54855,"Lynx rufus",8804,8805,0,12649.1106,9999999.937,8805,23.24186535,FALSE
"216",215,114,8599,8599,"GBIF_CAMILLO_11108","GBIF","22-Sep-21",9,2021,264,37.71428571,37,NA,44.03625,-73.818145,"Lynx rufus",6352,6353,0,12649.1106,9999999.937,6353,29.76886411,FALSE
"217",216,29,8469,8469,"GBIF_CAMILLO_10968","GBIF","28-Sep-21",9,2021,270,38.57142857,38,NA,44.309201,-75.099199,"Lynx rufus",382,383,0,12649.1106,9999999.937,383,59.05275779,FALSE
"218",217,111,8596,8596,"GBIF_CAMILLO_11105","GBIF","10-May-21",5,2021,129,18.42857143,18,NA,44.403846,-75.225977,"Lynx rufus",4510,4511,0,12649.111,10000000.57,4511,55.37566709,FALSE
"219",218,222,95018,95018,"emammal_d61030d61030s63","Snapshot USA - 2019; emammal.si.edu","11/7/2019",11,2019,310,44.28571429,44,"2:55:23 AM",44.40518,-75.06884,"Lynx rufus",2571,2572,0,12649.1108,10000000.25,2572,50.80935252,FALSE
"220",219,221,94796,94796,"emammal_d58202d58202s27","Snapshot USA - 2019; emammal.si.edu","9/20/2019",9,2019,262,37.42857143,37,"7:09:19 AM",44.4532,-74.20113,"Lynx rufus",2017,2018,0,12649.1106,9999999.937,2018,63.58485475,FALSE
"221",220,47,8487,8487,"GBIF_CAMILLO_10986","GBIF","26-Jan-21",1,2021,25,3.571428571,3,NA,44.612697,-75.171897,"Lynx rufus",4546,4547,0,12649.1106,9999999.937,4547,54.12695558,FALSE
"222",221,159,85997,85997,"NYS Nuisance Wildlife Complaint_23906","NYS Nuisance Wildlife Complaint","3/13/2020",3,2020,72,10.28571429,10," ",44.94918,-73.92489,"Lynx rufus",7566,7567,0,12649.1106,9999999.937,7567,71.33429326,FALSE
