"","X","FID","Field1","Species","Method","latitude","longitude","Month","Day","Week","Year","Date","Time","source","FID_allNY1","FID_allNY_10km","duplicate"
"15",18,2502,0,"Ursus arctos","iSeeMammals",42.44721,-77.60322,8,19,32,2017,"8/19/2017","22:14:33.000Z","camera",261,262,FALSE
"16",19,2518,0,"Ursus arctos","iSeeMammals",42.47205,-74.21919,8,7,31,2017,"8/7/2017","03:13:30.000Z","camera",261,262,FALSE
"17",20,2519,0,"Ursus arctos","iSeeMammals",42.47219,-76.41205,8,3,30,2017,"8/3/2017","21:15:00.000Z","camera",261,262,FALSE
"18",22,2615,0,"Ursus arctos","iSeeMammals",42.6517,-78.71058,8,26,33,2017,"8/26/2017","21:50:00.000Z","camera",261,262,FALSE
"19",23,2510,0,"Ursus arctos","iSeeMammals",42.45872,-78.00292,9,16,36,2017,"9/16/2017","13:57:00.000Z","camera",261,262,FALSE
"20",24,2624,0,"Ursus arctos","iSeeMammals",42.69048,-77.21182,9,23,37,2017,"9/23/2017","22:51:00.000Z","camera",261,262,FALSE
"21",28,2480,0,"Ursus arctos","iSeeMammals",42.41291,-75.70858,10,17,41,2017,"10/17/2017","22:59:00.000Z","camera",261,262,FALSE
"22",29,2503,0,"Ursus arctos","iSeeMammals",42.44905,-77.60477,10,1,39,2017,"10/1/2017","02:25:09.000Z","camera",261,262,FALSE
"23",30,2509,0,"Ursus arctos","iSeeMammals",42.45345,-76.4735,11,1,43,2017,"11/1/2017","15:22:00.000Z","camera",261,262,FALSE
"24",31,2513,0,"Ursus arctos","iSeeMammals",42.45962,-78.00912,4,21,15,2018,"4/21/2018","14:21:00.000Z","camera",261,262,FALSE
"25",32,2619,0,"Ursus arctos","iSeeMammals",42.66947,-78.74037,6,12,23,2018,"6/12/2018","16:09:00.000Z","camera",261,262,FALSE
"26",33,2626,0,"Ursus arctos","iSeeMammals",42.69313,-73.90236,6,19,24,2018,"6/19/2018","05:30:00.000Z","camera",261,262,FALSE
"27",34,2631,0,"Ursus arctos","iSeeMammals",42.71645,-77.87706,6,28,25,2018,"6/28/2018","22:25:00.000Z","camera",261,262,FALSE
"28",35,2603,0,"Ursus arctos","iSeeMammals",42.5795,-77.3477,8,21,33,2018,"8/21/2018","00:04:00.000Z","camera",261,262,FALSE
"29",37,2473,0,"Ursus arctos","iSeeMammals",42.39014,-79.07145,9,15,36,2018,"9/15/2018","20:30:00.000Z","camera",261,262,FALSE
"30",38,2481,0,"Ursus arctos","iSeeMammals",42.41867,-73.52041,11,5,44,2018,"11/5/2018","01:29:00.000Z","camera",261,262,FALSE
"31",39,2495,0,"Ursus arctos","iSeeMammals",42.44206,-75.13562,11,4,43,2018,"11/4/2018","05:16:00.000Z","camera",261,262,FALSE
"64",78,2628,0,"Ursus arctos","iSeeMammals",42.69598,-73.30721,11,17,45,2018,"11/17/2018","17:07:00.000Z","one-off",269,270,FALSE
"65",79,2006,0,"Ursus arctos","iSeeMammals",41.86393,-74.50289,8,3,30,2017,"8/3/2017","15:46:50.751Z","one-off",298,299,FALSE
"66",80,1014,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:36:44.000Z","one-off",304,305,FALSE
"67",81,1027,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,25,38,2017,"9/25/2017","20:54:22.000Z","one-off",304,305,FALSE
"68",82,1636,0,"Ursus arctos","iSeeMammals",41.30329,-74.08655,5,14,19,2017,"5/14/2017","14:30:33.389Z","one-off",317,318,FALSE
"69",83,1604,0,"Ursus arctos","iSeeMammals",41.29667,-74.09222,12,2,47,2017,"12/2/2017","18:19:22.851Z","one-off",317,318,FALSE
"71",85,1455,0,"Ursus arctos","iSeeMammals",41.2695,-74.0642,7,21,28,2018,"7/21/2018","02:04:18.000Z"," ",389,390,FALSE
"72",86,1266,0,"Ursus arctos","iSeeMammals",41.25667,-74.1216,8,27,34,2017,"8/27/2017","15:40:02.929Z","one-off",417,418,FALSE
"73",87,1344,0,"Ursus arctos","iSeeMammals",41.2577,-74.12325,12,3,48,2017,"12/3/2017","16:13:35.893Z","one-off",417,418,FALSE
"74",88,1570,0,"Ursus arctos","iSeeMammals",41.29546,-74.08943,4,16,15,2017,"4/16/2017","21:17:55.000Z"," ",428,429,FALSE
"75",89,1354,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,5,15,19,2018,"5/15/2018","14:55:22.000Z","one-off",448,449,FALSE
"76",90,1029,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,25,38,2017,"9/25/2017","21:33:45.000Z","one-off",475,476,FALSE
"77",92,587,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,9,5,35,2018,"9/5/2018","12:28:56.000Z"," ",476,477,FALSE
"78",93,586,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,8,29,34,2018,"8/29/2018","20:11:09.000Z","one-off",476,477,FALSE
"81",96,425,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,2,13,2018,"4/2/2018","02:19:45.000Z"," ",594,595,FALSE
"82",97,502,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,7,18,2018,"5/7/2018","12:48:00.000Z","one-off",595,596,FALSE
"83",99,1511,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,3,29,12,2018,"3/29/2018","20:53:48.000Z"," ",617,618,FALSE
"84",100,1452,0,"Ursus arctos","iSeeMammals",41.26946,-74.10405,6,18,24,2018,"6/18/2018","14:40:21.000Z"," ",617,618,FALSE
"85",101,1429,0,"Ursus arctos","iSeeMammals",41.26662,-74.11006,6,2,21,2018,"6/2/2018","14:14:14.000Z"," ",648,649,FALSE
"86",103,677,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,16,15,2017,"4/16/2017","21:28:13.000Z"," ",657,658,FALSE
"87",105,672,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,5,15,19,2017,"5/15/2017","22:51:12.000Z"," ",657,658,FALSE
"88",107,693,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,5,4,17,2017,"5/4/2017","23:50:00.000Z"," ",657,658,FALSE
"89",108,670,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,27,16,2017,"4/27/2017","23:42:48.000Z","one-off",657,658,FALSE
"90",109,509,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,10,18,2018,"5/10/2018","22:50:00.000Z","one-off",683,684,FALSE
"91",110,1227,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:36:12.000Z"," ",742,743,FALSE
"92",111,1406,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,9,22,2018,"6/9/2018","11:56:49.000Z","one-off",752,753,FALSE
"93",112,1169,0,"Ursus arctos","iSeeMammals",41.24236,-74.07673,9,17,37,2018,"9/17/2018","12:46:49.000Z","one-off",766,767,FALSE
"94",113,447,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:49:27.000Z"," ",826,827,FALSE
"95",114,1525,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","23:02:25.000Z","one-off",861,862,FALSE
"96",115,910,0,"Ursus arctos","iSeeMammals",41.21277,-74.11895,4,26,16,2018,"4/26/2018","13:20:40.000Z","hike",871,872,FALSE
"97",116,872,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,21,37,2017,"9/21/2017","10:50:20.000Z","one-off",871,872,FALSE
"98",119,1222,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:36:10.000Z","one-off",873,874,FALSE
"99",120,1097,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,7,39,2017,"10/7/2017","22:38:22.000Z","one-off",909,910,FALSE
"100",122,1100,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,10,40,2017,"10/10/2017","12:52:17.000Z","one-off",909,910,FALSE
"101",123,1300,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,8,29,34,2017,"8/29/2017","10:33:11.000Z"," ",931,932,FALSE
"102",124,1323,0,"Ursus arctos","iSeeMammals",41.25694,-74.12256,8,18,32,2017,"8/18/2017","22:30:46.000Z","one-off",939,940,FALSE
"103",125,2540,0,"Ursus arctos","iSeeMammals",42.52661,-77.178,9,11,36,2016,"9/11/2016","08:35:00.000Z","camera",952,953,FALSE
"104",126,2550,0,"Ursus arctos","iSeeMammals",42.55065,-77.17491,9,16,37,2016,"9/16/2016","21:48:00.000Z","camera",952,953,FALSE
"105",127,2544,0,"Ursus arctos","iSeeMammals",42.54212,-74.42268,5,16,19,2017,"5/16/2017","02:15:00.000Z","camera",952,953,FALSE
"106",128,2552,0,"Ursus arctos","iSeeMammals",42.55145,-77.23406,5,28,21,2017,"5/28/2017","00:18:00.000Z","camera",952,953,FALSE
"107",129,2646,0,"Ursus arctos","iSeeMammals",42.78864,-77.42901,6,28,25,2017,"6/28/2017","01:00:00.000Z","camera",952,953,FALSE
"108",130,2665,0,"Ursus arctos","iSeeMammals",42.92466,-73.65096,6,20,24,2017,"6/20/2017","16:35:00.000Z","camera",952,953,FALSE
"109",132,2551,0,"Ursus arctos","iSeeMammals",42.5514,-77.23552,7,9,27,2017,"7/9/2017","00:47:00.000Z","camera",952,953,FALSE
"110",133,2566,0,"Ursus arctos","iSeeMammals",42.57413,-77.28138,7,30,30,2017,"7/30/2017","22:45:00.000Z","camera",952,953,FALSE
"111",134,2567,0,"Ursus arctos","iSeeMammals",42.57528,-77.27857,7,28,29,2017,"7/28/2017","19:59:00.000Z","camera",952,953,FALSE
"112",136,2577,0,"Ursus arctos","iSeeMammals",42.57724,-77.3439,7,3,26,2017,"7/3/2017","21:23:00.000Z","camera",952,953,FALSE
"113",142,2679,0,"Ursus arctos","iSeeMammals",43.07928,-74.70861,7,16,28,2017,"7/16/2017","15:25:00.000Z","camera",952,953,FALSE
"114",146,2553,0,"Ursus arctos","iSeeMammals",42.55242,-74.69453,8,14,32,2017,"8/14/2017","12:59:00.000Z","camera",952,953,FALSE
"115",153,2650,0,"Ursus arctos","iSeeMammals",42.84536,-77.53368,8,6,31,2017,"8/6/2017","23:50:00.000Z","camera",952,953,FALSE
"116",157,2654,0,"Ursus arctos","iSeeMammals",42.84729,-74.11441,8,27,34,2017,"8/27/2017","15:22:00.000Z","camera",952,953,FALSE
"117",160,2580,0,"Ursus arctos","iSeeMammals",42.57729,-77.34392,9,15,36,2017,"9/15/2017","13:38:00.000Z","camera",952,953,FALSE
"118",162,2687,0,"Ursus arctos","iSeeMammals",43.18496,-74.58399,9,22,37,2017,"9/22/2017","21:37:00.000Z","camera",952,953,FALSE
"119",163,2545,0,"Ursus arctos","iSeeMammals",42.54565,-75.81612,10,22,42,2017,"10/22/2017","22:15:09.000Z","camera",952,953,FALSE
"120",164,2649,0,"Ursus arctos","iSeeMammals",42.83302,-74.06818,10,18,41,2017,"10/18/2017","23:17:00.000Z","camera",952,953,FALSE
"121",165,2658,0,"Ursus arctos","iSeeMammals",42.85287,-74.12743,10,10,40,2017,"10/10/2017","12:55:00.000Z","camera",952,953,FALSE
"122",166,2688,0,"Ursus arctos","iSeeMammals",43.18553,-74.58434,10,2,39,2017,"10/2/2017","23:47:00.000Z","camera",952,953,FALSE
"123",169,2693,0,"Ursus arctos","iSeeMammals",43.30168,-73.5824,11,11,44,2017,"11/11/2017","19:05:00.000Z","camera",952,953,FALSE
"124",170,2700,0,"Ursus arctos","iSeeMammals",43.39778,-73.96265,5,17,19,2018,"5/17/2018","17:30:00.000Z","camera",952,953,FALSE
"125",171,2713,0,"Ursus arctos","iSeeMammals",43.60813,-73.48698,5,12,18,2018,"5/12/2018","04:03:00.000Z","camera",952,953,FALSE
"126",172,2568,0,"Ursus arctos","iSeeMammals",42.57666,-77.34886,6,28,25,2018,"6/28/2018","02:02:00.000Z","camera",952,953,FALSE
"127",173,2710,0,"Ursus arctos","iSeeMammals",43.52375,-75.22964,6,5,22,2018,"6/5/2018","18:42:00.000Z","camera",952,953,FALSE
"128",174,2538,0,"Ursus arctos","iSeeMammals",42.52572,-77.65736,7,5,26,2018,"7/5/2018","01:00:54.000Z","camera",952,953,FALSE
"129",177,2582,0,"Ursus arctos","iSeeMammals",42.57732,-77.34405,8,27,34,2018,"8/27/2018","23:37:00.000Z","camera",952,953,FALSE
"130",178,2570,0,"Ursus arctos","iSeeMammals",42.57694,-77.3438,9,22,37,2018,"9/22/2018","22:49:00.000Z","camera",952,953,FALSE
"131",179,2573,0,"Ursus arctos","iSeeMammals",42.57709,-77.34377,9,8,35,2018,"9/8/2018","12:30:00.000Z","camera",952,953,FALSE
"132",182,2647,0,"Ursus arctos","iSeeMammals",42.80638,-78.51642,9,25,38,2018,"9/25/2018","02:09:12.000Z","camera",952,953,FALSE
"133",184,2571,0,"Ursus arctos","iSeeMammals",42.57694,-77.34377,10,3,39,2018,"10/3/2018","20:40:00.000Z","camera",952,953,FALSE
"134",187,2685,0,"Ursus arctos","iSeeMammals",43.14127,-75.00076,10,14,40,2018,"10/14/2018","16:17:00.000Z","camera",952,953,FALSE
"169",233,2609,0,"Ursus arctos","iSeeMammals",42.61064,-73.66929,7,12,27,2018,"7/12/2018","10:00:13.000Z","one-off",952,953,FALSE
"170",235,2611,0,"Ursus arctos","iSeeMammals",42.61508,-75.55846,8,9,31,2018,"8/9/2018","20:30:00.000Z","one-off",952,953,FALSE
"171",236,2737,0,"Ursus arctos","iSeeMammals",43.76693,-74.80936,8,20,33,2018,"8/20/2018","17:30:43.000Z","one-off",952,953,FALSE
"172",237,2610,0,"Ursus arctos","iSeeMammals",42.61321,-73.97926,12,31,52,2018,"12/31/2018","02:00:00.000Z","one-off",952,953,FALSE
"176",241,1425,0,"Ursus arctos","iSeeMammals",41.26662,-74.11006,6,2,21,2018,"6/2/2018","10:59:46.000Z","one-off",979,980,FALSE
"178",245,534,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,8,18,2018,"5/8/2018","01:32:08.000Z","one-off",1052,1053,FALSE
"179",246,1384,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,2,21,2018,"6/2/2018","15:02:20.000Z","one-off",1056,1057,FALSE
"180",247,1575,0,"Ursus arctos","iSeeMammals",41.29546,-74.08943,4,16,15,2017,"4/16/2017","21:19:32.000Z","one-off",1137,1138,FALSE
"181",248,1379,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,1,21,2018,"6/1/2018","14:05:56.000Z"," ",1143,1144,FALSE
"182",249,578,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,8,27,34,2018,"8/27/2018","23:15:41.000Z","one-off",1164,1165,FALSE
"183",250,1454,0,"Ursus arctos","iSeeMammals",41.2695,-74.0642,7,12,27,2018,"7/12/2018","18:17:52.000Z"," ",1174,1175,FALSE
"184",252,1003,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,9,20,37,2017,"9/20/2017","23:34:47.000Z","hike",1175,1176,FALSE
"185",253,1510,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,3,29,12,2018,"3/29/2018","20:53:47.000Z","one-off",1257,1258,FALSE
"186",254,1509,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:55:04.000Z","one-off",1257,1258,FALSE
"187",255,583,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,8,29,34,2018,"8/29/2018","12:40:49.000Z"," ",1271,1272,FALSE
"188",256,1387,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,7,22,2018,"6/7/2018","22:56:55.000Z","one-off",1301,1302,FALSE
"189",259,859,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,18,37,2017,"9/18/2017","16:40:47.000Z"," ",1321,1322,FALSE
"190",260,1664,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:42:17.000Z","one-off",1325,1326,FALSE
"191",261,2776,0,"Ursus arctos","iSeeMammals",44.1887,-73.79076,7,21,28,2018,"7/21/2018","23:34:10.000Z","one-off",1340,1341,FALSE
"193",263,1412,0,"Ursus arctos","iSeeMammals",41.26494,-74.10672,6,3,21,2017,"6/3/2017","21:40:57.000Z","one-off",1389,1390,FALSE
"194",264,1438,0,"Ursus arctos","iSeeMammals",41.26815,-74.03572,7,30,30,2017,"7/30/2017","13:33:00.000Z","one-off",1391,1392,FALSE
"195",265,1079,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,3,39,2017,"10/3/2017","16:08:45.000Z"," ",1424,1425,FALSE
"196",266,1377,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,5,31,21,2018,"5/31/2018","03:20:55.000Z"," ",1440,1441,FALSE
"197",267,117,0,"Ursus arctos","iSeeMammals",41.17464,-74.10807,5,12,18,2017,"5/12/2017","20:25:27.000Z"," ",1466,1467,FALSE
"198",268,123,0,"Ursus arctos","iSeeMammals",41.17475,-74.10774,9,18,37,2017,"9/18/2017","11:51:10.000Z"," ",1466,1467,FALSE
"199",269,1349,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,5,15,19,2018,"5/15/2018","14:55:18.000Z"," ",1492,1493,FALSE
"201",271,630,0,"Ursus arctos","iSeeMammals",41.20456,-74.11167,6,10,22,2017,"6/10/2017","13:57:04.000Z"," ",1530,1531,FALSE
"202",272,1231,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,28,8,2018,"2/28/2018","23:17:59.000Z"," ",1577,1578,FALSE
"203",274,1230,0,"Ursus arctos","iSeeMammals",41.24434,-74.1501,2,15,6,2018,"2/15/2018","22:37:30.000Z","one-off",1577,1578,FALSE
"204",275,2698,0,"Ursus arctos","iSeeMammals",43.38693,-76.21627,1,23,3,2018,"1/23/2018","17:24:00.000Z","one-off",1585,1586,FALSE
"205",276,597,0,"Ursus arctos","iSeeMammals",41.18998,-74.08103,11,24,46,2018,"11/24/2018","23:34:33.000Z","one-off",1590,1591,FALSE
"206",277,1082,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,3,39,2017,"10/3/2017","16:09:29.000Z","one-off",1613,1614,FALSE
"207",279,1537,0,"Ursus arctos","iSeeMammals",41.29126,-74.07575,5,24,20,2017,"5/24/2017","14:49:30.000Z","one-off",1634,1635,FALSE
"208",280,1541,0,"Ursus arctos","iSeeMammals",41.29126,-74.07575,6,9,22,2017,"6/9/2017","12:27:22.000Z","one-off",1634,1635,FALSE
"209",281,1521,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","23:02:27.000Z","one-off",1634,1635,FALSE
"210",283,1534,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,23,16,2018,"4/23/2018","21:57:53.000Z","one-off",1634,1635,FALSE
"211",284,1560,0,"Ursus arctos","iSeeMammals",41.29126,-74.07575,6,6,22,2018,"6/6/2018","12:37:49.000Z","one-off",1634,1635,FALSE
"212",289,1602,0,"Ursus arctos","iSeeMammals",41.29578,-74.0927,12,2,47,2017,"12/2/2017","17:24:02.489Z","one-off",1643,1644,FALSE
"213",290,1601,0,"Ursus arctos","iSeeMammals",41.29557,-74.08904,4,28,16,2018,"4/28/2018","14:44:09.576Z","one-off",1643,1644,FALSE
"214",291,1346,0,"Ursus arctos","iSeeMammals",41.26356,-74.12671,9,9,35,2018,"9/9/2018","16:16:20.799Z","one-off",1643,1644,FALSE
"215",292,674,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,4,27,16,2017,"4/27/2017","23:44:09.000Z","one-off",1654,1655,FALSE
"216",293,620,0,"Ursus arctos","iSeeMammals",41.20447,-74.06625,8,6,31,2017,"8/6/2017","18:06:11.229Z"," ",1749,1750,FALSE
"219",296,1064,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,1,39,2017,"10/1/2017","23:00:49.000Z","one-off",1801,1802,FALSE
"220",297,612,0,"Ursus arctos","iSeeMammals",41.20042,-74.17953,4,8,13,2018,"4/8/2018","14:20:50.000Z","one-off",1808,1809,FALSE
"221",298,594,0,"Ursus arctos","iSeeMammals",41.18998,-74.08103,11,16,45,2018,"11/16/2018","20:29:44.000Z","one-off",1808,1809,FALSE
"222",299,826,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,8,25,33,2017,"8/25/2017","19:00:39.000Z","hike",1851,1852,FALSE
"223",300,836,0,"Ursus arctos","iSeeMammals",41.20786,-74.11396,9,6,35,2017,"9/6/2017","20:27:55.000Z","hike",1851,1852,FALSE
"224",301,298,0,"Ursus arctos","iSeeMammals",41.18819,-74.07341,4,8,13,2018,"4/8/2018","18:47:23.528Z"," ",1892,1893,FALSE
"225",302,2007,0,"Ursus arctos","iSeeMammals",41.86877,-74.53432,7,4,26,2017,"7/4/2017","15:39:13.819Z","one-off",1911,1912,FALSE
"226",303,1529,0,"Ursus arctos","iSeeMammals",41.2877,-74.07795,4,5,13,2018,"4/5/2018","22:59:19.000Z","one-off",1914,1915,FALSE
"227",305,1672,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,6,17,2018,"5/6/2018","00:09:12.000Z","one-off",1919,1920,FALSE
"228",306,581,0,"Ursus arctos","iSeeMammals",41.18948,-74.10829,9,8,35,2018,"9/8/2018","10:40:45.000Z"," ",1939,1940,FALSE
"229",307,1633,0,"Ursus arctos","iSeeMammals",41.30217,-74.0881,8,26,33,2017,"8/26/2017","15:16:37.111Z","one-off",1943,1944,FALSE
"230",308,1320,0,"Ursus arctos","iSeeMammals",41.25692,-74.12264,10,14,40,2017,"10/14/2017","13:20:09.000Z","one-off",2001,2002,FALSE
"231",309,462,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:50:03.000Z","one-off",2079,2080,FALSE
"232",310,2456,0,"Ursus arctos","iSeeMammals",42.35637,-78.67869,5,4,17,2018,"5/4/2018","06:10:00.000Z"," ",2087,2088,FALSE
"233",311,2821,0,"Ursus arctos","iSeeMammals",44.59933,-74.93304,10,6,39,2018,"10/6/2018","14:38:12.946Z","one-off",2095,2096,FALSE
"234",312,1106,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,15,41,2017,"10/15/2017","22:18:39.000Z","one-off",2116,2117,FALSE
"235",313,1594,0,"Ursus arctos","iSeeMammals",41.29546,-74.08943,4,24,16,2017,"4/24/2017","10:15:53.000Z","one-off",2183,2184,FALSE
"236",315,1670,0,"Ursus arctos","iSeeMammals",41.33134,-74.06852,5,5,17,2018,"5/5/2018","23:43:17.000Z","one-off",2183,2184,FALSE
"237",316,542,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,10,18,2018,"5/10/2018","22:50:08.000Z","one-off",2200,2201,FALSE
"238",317,1078,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,2,39,2017,"10/2/2017","20:30:24.000Z"," ",2230,2231,FALSE
"239",319,485,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,17,15,2018,"4/17/2018","10:12:22.000Z","one-off",2242,2243,FALSE
"240",320,486,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,28,16,2018,"4/28/2018","03:17:01.000Z","one-off",2242,2243,FALSE
"241",321,487,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,30,17,2018,"4/30/2018","02:54:29.000Z","one-off",2242,2243,FALSE
"242",322,488,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,30,17,2018,"4/30/2018","02:54:31.000Z","one-off",2254,2255,FALSE
"244",324,2343,0,"Ursus arctos","iSeeMammals",42.22438,-73.97704,8,1,30,2017,"8/1/2017","18:00:00.000Z"," ",2262,2263,FALSE
"245",325,598,0,"Ursus arctos","iSeeMammals",41.18998,-74.08103,11,16,45,2018,"11/16/2018","18:19:38.000Z","one-off",2272,2273,FALSE
"246",326,1598,0,"Ursus arctos","iSeeMammals",41.29546,-74.08943,9,2,34,2017,"9/2/2017","13:23:13.000Z"," ",2274,2275,FALSE
"247",327,2262,0,"Ursus arctos","iSeeMammals",42.16636,-78.56357,8,11,31,2018,"8/11/2018","20:32:00.000Z","one-off",2284,2285,FALSE
"248",328,1400,0,"Ursus arctos","iSeeMammals",41.26446,-74.10684,6,4,22,2018,"6/4/2018","12:24:44.000Z"," ",2334,2335,FALSE
"249",329,2683,0,"Ursus arctos","iSeeMammals",43.13302,-74.99976,9,16,36,2017,"9/16/2017","16:45:53.295Z","one-off",2338,2339,FALSE
"250",330,1936,0,"Ursus arctos","iSeeMammals",41.80728,-74.41252,9,3,35,2018,"9/3/2018","17:23:50.419Z","one-off",2344,2345,FALSE
"251",331,420,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,4,1,12,2018,"4/1/2018","00:47:34.000Z"," ",2376,2377,FALSE
"252",335,694,0,"Ursus arctos","iSeeMammals",41.20556,-74.07427,5,20,19,2017,"5/20/2017","00:08:35.000Z"," ",2406,2407,FALSE
"253",336,1093,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,3,39,2017,"10/3/2017","18:36:09.000Z","one-off",2495,2496,FALSE
"254",337,1105,0,"Ursus arctos","iSeeMammals",41.22616,-74.10275,10,15,41,2017,"10/15/2017","21:48:10.000Z"," ",2537,2538,FALSE
"255",338,1111,0,"Ursus arctos","iSeeMammals",41.22838,-74.09261,10,1,39,2018,"10/1/2018","13:45:08.000Z"," ",2537,2538,FALSE
"256",340,507,0,"Ursus arctos","iSeeMammals",41.18856,-74.07448,5,10,18,2018,"5/10/2018","09:43:04.000Z"," ",2552,2553,FALSE
